run_id,check_name,severity,status,failed_rows,detail
run_0001,customer_id_unique,critical,passed,0,Rule passed
run_0001,order_id_unique,critical,passed,0,Rule passed
run_0001,order_amount_nonnegative,critical,passed,0,Rule passed
run_0001,order_status_accepted,warning,passed,0,Rule passed
run_0001,orders_customer_fk,critical,passed,0,Rule passed
run_0001,source_freshness,warning,passed,0,Rule passed
run_0002,customer_id_unique,critical,passed,0,Rule passed
run_0002,order_id_unique,critical,passed,0,Rule passed
run_0002,order_amount_nonnegative,critical,passed,0,Rule passed
run_0002,order_status_accepted,warning,passed,0,Rule passed
run_0002,orders_customer_fk,critical,passed,0,Rule passed
run_0002,source_freshness,warning,passed,0,Rule passed
run_0003,customer_id_unique,critical,passed,0,Rule passed
run_0003,order_id_unique,critical,passed,0,Rule passed
run_0003,order_amount_nonnegative,critical,passed,0,Rule passed
run_0003,order_status_accepted,warning,failed,10,source freshness SLA exceeded
run_0003,orders_customer_fk,critical,passed,0,Rule passed
run_0003,source_freshness,warning,passed,0,Rule passed
run_0004,customer_id_unique,critical,passed,0,Rule passed
run_0004,order_id_unique,critical,passed,0,Rule passed
run_0004,order_amount_nonnegative,critical,passed,0,Rule passed
run_0004,order_status_accepted,warning,passed,0,Rule passed
run_0004,orders_customer_fk,critical,passed,0,Rule passed
run_0004,source_freshness,warning,passed,0,Rule passed
run_0005,customer_id_unique,critical,passed,0,Rule passed
run_0005,order_id_unique,critical,passed,0,Rule passed
run_0005,order_amount_nonnegative,critical,passed,0,Rule passed
run_0005,order_status_accepted,warning,passed,0,Rule passed
run_0005,orders_customer_fk,critical,passed,0,Rule passed
run_0005,source_freshness,warning,passed,0,Rule passed
run_0006,customer_id_unique,critical,passed,0,Rule passed
run_0006,order_id_unique,critical,passed,0,Rule passed
run_0006,order_amount_nonnegative,critical,passed,0,Rule passed
run_0006,order_status_accepted,warning,passed,0,Rule passed
run_0006,orders_customer_fk,critical,passed,0,Rule passed
run_0006,source_freshness,warning,passed,0,Rule passed
run_0007,customer_id_unique,critical,passed,0,Rule passed
run_0007,order_id_unique,critical,passed,0,Rule passed
run_0007,order_amount_nonnegative,critical,passed,0,Rule passed
run_0007,order_status_accepted,warning,passed,0,Rule passed
run_0007,orders_customer_fk,critical,passed,0,Rule passed
run_0007,source_freshness,warning,passed,0,Rule passed
run_0008,customer_id_unique,critical,passed,0,Rule passed
run_0008,order_id_unique,critical,passed,0,Rule passed
run_0008,order_amount_nonnegative,critical,passed,0,Rule passed
run_0008,order_status_accepted,warning,passed,0,Rule passed
run_0008,orders_customer_fk,critical,passed,0,Rule passed
run_0008,source_freshness,warning,passed,0,Rule passed
run_0009,customer_id_unique,critical,passed,0,Rule passed
run_0009,order_id_unique,critical,passed,0,Rule passed
run_0009,order_amount_nonnegative,critical,passed,0,Rule passed
run_0009,order_status_accepted,warning,passed,0,Rule passed
run_0009,orders_customer_fk,critical,passed,0,Rule passed
run_0009,source_freshness,warning,passed,0,Rule passed
run_0010,customer_id_unique,critical,passed,0,Rule passed
run_0010,order_id_unique,critical,passed,0,Rule passed
run_0010,order_amount_nonnegative,critical,passed,0,Rule passed
run_0010,order_status_accepted,warning,passed,0,Rule passed
run_0010,orders_customer_fk,critical,passed,0,Rule passed
run_0010,source_freshness,warning,passed,0,Rule passed
run_0011,customer_id_unique,critical,passed,0,Rule passed
run_0011,order_id_unique,critical,passed,0,Rule passed
run_0011,order_amount_nonnegative,critical,passed,0,Rule passed
run_0011,order_status_accepted,warning,passed,0,Rule passed
run_0011,orders_customer_fk,critical,passed,0,Rule passed
run_0011,source_freshness,warning,passed,0,Rule passed
run_0012,customer_id_unique,critical,passed,0,Rule passed
run_0012,order_id_unique,critical,passed,0,Rule passed
run_0012,order_amount_nonnegative,critical,passed,0,Rule passed
run_0012,order_status_accepted,warning,passed,0,Rule passed
run_0012,orders_customer_fk,critical,passed,0,Rule passed
run_0012,source_freshness,warning,passed,0,Rule passed
run_0013,customer_id_unique,critical,passed,0,Rule passed
run_0013,order_id_unique,critical,passed,0,Rule passed
run_0013,order_amount_nonnegative,critical,passed,0,Rule passed
run_0013,order_status_accepted,warning,passed,0,Rule passed
run_0013,orders_customer_fk,critical,passed,0,Rule passed
run_0013,source_freshness,warning,passed,0,Rule passed
run_0014,customer_id_unique,critical,passed,0,Rule passed
